"StichtagDatJahr","KreisSort","KreisCd","KreisLang","SteuerTarifSort","SteuerTarifCd","SteuerTarifLang","SteuerVermoegen_p50","SteuerVermoegen_p25","SteuerVermoegen_p75"
2007,2,"2","Kreis 2",2,"02","Einelternfamilientarif",16,0,89
2007,3,"3","Kreis 3",0,"00","Grundtarif",21,0,103
2007,3,"3","Kreis 3",1,"01","Verheiratetentarif",53,0,232
2007,3,"3","Kreis 3",2,"02","Einelternfamilientarif",5.5,0,51.5
2007,4,"4","Kreis 4",0,"00","Grundtarif",8,0,60
2007,4,"4","Kreis 4",1,"01","Verheiratetentarif",4,0,99.5
2007,4,"4","Kreis 4",2,"02","Einelternfamilientarif",0,0,20
2007,5,"5","Kreis 5",0,"00","Grundtarif",17,0,88
2007,5,"5","Kreis 5",1,"01","Verheiratetentarif",31,0,201
2007,5,"5","Kreis 5",2,"02","Einelternfamilientarif",11,0,66
2007,6,"6","Kreis 6",0,"00","Grundtarif",44,5,197
2007,6,"6","Kreis 6",1,"01","Verheiratetentarif",182,32,582
2007,6,"6","Kreis 6",2,"02","Einelternfamilientarif",27,0,137
2007,7,"7","Kreis 7",0,"00","Grundtarif",70,8,353.5
2007,7,"7","Kreis 7",1,"01","Verheiratetentarif",394,91,1378
2007,7,"7","Kreis 7",2,"02","Einelternfamilientarif",45.5,2,272
2007,8,"8","Kreis 8",0,"00","Grundtarif",48,4,231
2007,8,"8","Kreis 8",1,"01","Verheiratetentarif",229,40,834
2007,8,"8","Kreis 8",2,"02","Einelternfamilientarif",39.5,1,192
2007,9,"9","Kreis 9",0,"00","Grundtarif",20,0,116
2007,9,"9","Kreis 9",1,"01","Verheiratetentarif",66,0,276
2007,9,"9","Kreis 9",2,"02","Einelternfamilientarif",1,0,35
2007,10,"10","Kreis 10",0,"00","Grundtarif",37,3,177
2007,10,"10","Kreis 10",1,"01","Verheiratetentarif",172,25,544
2007,10,"10","Kreis 10",2,"02","Einelternfamilientarif",15,0,89
2007,11,"11","Kreis 11",0,"00","Grundtarif",18,0,102
2007,11,"11","Kreis 11",1,"01","Verheiratetentarif",61,0,268
2007,11,"11","Kreis 11",2,"02","Einelternfamilientarif",1,0,34
2007,12,"12","Kreis 12",0,"00","Grundtarif",10,0,73
2007,12,"12","Kreis 12",1,"01","Verheiratetentarif",26,0,163
2007,12,"12","Kreis 12",2,"02","Einelternfamilientarif",0,0,14
2008,1,"1","Kreis 1",0,"00","Grundtarif",33,1,204
2008,1,"1","Kreis 1",1,"01","Verheiratetentarif",274,57,1028
2008,1,"1","Kreis 1",2,"02","Einelternfamilientarif",72,3,298
2008,2,"2","Kreis 2",0,"00","Grundtarif",38,3,184
2008,2,"2","Kreis 2",1,"01","Verheiratetentarif",162,24,507
2008,2,"2","Kreis 2",2,"02","Einelternfamilientarif",18,0,96.5
2008,3,"3","Kreis 3",0,"00","Grundtarif",21,0,99
2008,3,"3","Kreis 3",1,"01","Verheiratetentarif",53,0,228
2008,3,"3","Kreis 3",2,"02","Einelternfamilientarif",5,0,50
2008,4,"4","Kreis 4",0,"00","Grundtarif",9,0,59
2008,4,"4","Kreis 4",1,"01","Verheiratetentarif",4,0,92
2008,4,"4","Kreis 4",2,"02","Einelternfamilientarif",0,0,26
2008,5,"5","Kreis 5",0,"00","Grundtarif",19,0,86
2008,5,"5","Kreis 5",1,"01","Verheiratetentarif",32,0,190
2008,5,"5","Kreis 5",2,"02","Einelternfamilientarif",12,0,82
2008,6,"6","Kreis 6",0,"00","Grundtarif",42,4,177
2008,6,"6","Kreis 6",1,"01","Verheiratetentarif",175,33,552
2008,6,"6","Kreis 6",2,"02","Einelternfamilientarif",29,0,134
2008,7,"7","Kreis 7",0,"00","Grundtarif",65,8,323
2008,7,"7","Kreis 7",1,"01","Verheiratetentarif",375,86,1258
2008,7,"7","Kreis 7",2,"02","Einelternfamilientarif",47,2,236
2008,8,"8","Kreis 8",0,"00","Grundtarif",48,4,214
2008,8,"8","Kreis 8",1,"01","Verheiratetentarif",230,46,775
2008,8,"8","Kreis 8",2,"02","Einelternfamilientarif",36,1,196
2008,9,"9","Kreis 9",0,"00","Grundtarif",20,0,107
2008,9,"9","Kreis 9",1,"01","Verheiratetentarif",60,0,259
2008,9,"9","Kreis 9",2,"02","Einelternfamilientarif",2,0,38
2008,10,"10","Kreis 10",0,"00","Grundtarif",37,3,165
2008,10,"10","Kreis 10",1,"01","Verheiratetentarif",163,24,499.5
2008,10,"10","Kreis 10",2,"02","Einelternfamilientarif",18,0,93.5
2008,11,"11","Kreis 11",0,"00","Grundtarif",18,0,98
2008,11,"11","Kreis 11",1,"01","Verheiratetentarif",58,0,250
2008,11,"11","Kreis 11",2,"02","Einelternfamilientarif",2,0,36
2008,12,"12","Kreis 12",0,"00","Grundtarif",10,0,67
2008,12,"12","Kreis 12",1,"01","Verheiratetentarif",23,0,152
2008,12,"12","Kreis 12",2,"02","Einelternfamilientarif",0,0,14
2009,1,"1","Kreis 1",0,"00","Grundtarif",39,2,234.5
2009,1,"1","Kreis 1",1,"01","Verheiratetentarif",306,55,1115
